Age,Sex
27,1
24,1
41,2
34,2
50,2
61,1
47,3
146,7
96,3
84,1
33,2
131,2
61,2
45,1
56,2
64,1
54,2
37,2
387,17
38,2
151,6
94,3
53,4
195,6
29,2
54,3
57,1
36,2
53,3
104,5
76,3
39,2
85,2
133,6
33,2
128,4
13,2
113,7
142,5
95,3
158,8
86,3
95,3
45,1
70,1
45,2
123,4
29,1
237,10
19,2
229,7
144,8
50,4
23,1
20,2
42,3
38,2
30,1
46,1
123,6
61,7
59,1
193,5
35,2
43,2
77,3
28,1
27,1
37,1
50,2
19,1
47,1
50,1
21,1
56,1
27,1
88,4
88,3
59,2
13,1
28,1
21,1
42,2
20,1
17,2
28,2
33,1
38,3
19,1
42,2
76,4
86,2
30,1
41,3
81,4
24,2
19,1
49,1
50,3
42,3
41,1
38,2
36,1
136,6
31,2
24,1
32,1
26,1
55,2
33,2
25,1
23,1
357,9
19,1
29,1
39,1
50,1
39,2
56,2
35,2
31,1
31,1
26,2
22,1
41,1
50,1
33,1
44,2
42,1
22,1
71,2
19,1
26,1
43,1
106,3
53,1
162,6
78,2
27,1
35,1
49,1
92,3
32,1
315,15
110,2
46,1
52,2
34,1
60,3
36,1
295,9
59,2
73,2
193,5
110,6
57,2
59,2
37,2
142,6
25,1
417,15
155,6
89,2
30,1
182,6
24,2
239,9
13,2
42,2
82,2
113,5
50,3
22,2
105,5
49,3
108,5
22,1
193,7
45,2
112,5
89,4
24,2
186,5
79,3
437,18
88,2
21,1
101,2
96,2
28,2
123,5
270,8
48,1
23,2
25,2
18,2
60,1
258,14
40,1
148,9
191,6
143,12
55,2
112,4
41,1
231,9
115,5
28,1
28,3
86,6
22,2
219,8
55,1
73,2
17,4
62,3
31,1
195,4
45,1
60,2
30,1
57,1
13,2
26,2
41,1
71,2
99,6
276,9
61,1
39,4
88,2
38,1
81,2
8,1
12,1
302,10
23,2
68,3
81,1
82,5
45,1
65,2
45,1
24,2
35,2
26,2
45,2
32,1
30,2
37,1
67,1
55,1
102,4
130,5
29,2
63,2
97,2
22,1
36,2
72,3
20,1
44,3
325,7
170,4
153,4
42,1
69,2
5,2
43,2
72,2
77,3
-1,2
118,4
79,1
18,2
93,4
8,2
21,1
40,2
36,3
53,1
82,2
74,5
4,1
51,2
3,1
52,1
125,3
53,3
125,4
12,1
67,2
38,1
200,8
22,2
11,1
78,2
62,4
44,2
103,7
47,2
21,1
51,1
13,1
105,3
164,6
29,1
31,1
44,2
108,3
96,4
44,1
52,2
32,1
110,3
138,4
42,2
67,2
49,1
50,2
68,1
43,3
135,4
126,6
135,5
50,2
40,1
23,1
77,4
44,2
26,2
72,3
36,2
73,3
27,2
176,5
48,2
25,1
99,3
50,1
36,1
36,1
76,4
55,4
50,1
75,3
23,3
25,1
42,1
65,4
13,1
29,2
58,3
28,1
39,1
-1,1
33,1
-1,2
60,1
47,1
44,1
44,1
49,2
63,2
51,2
103,2
52,2
66,1
89,2
51,1
361,14
31,1
37,3
111,3
129,7
41,3
122,5
21,2
90,4
77,3
92,3
83,3
34,1
18,2
111,5
266,10
15,2
33,3
82,3
56,4
177,8
29,1
23,1
215,9
36,1
240,7
273,14
127,5
44,2
16,2
109,4
123,4
45,1
103,3
87,5
3,1
54,3
23,1
46,1
86,2
30,2
70,2
41,2
72,2
36,1
46,2
20,1
33,1
21,2
66,2
36,2
30,2
184,6
63,2
116,3
31,2
19,2
32,1
72,1
25,1
-1,2
24,2
101,4
40,3
30,1
165,3
37,1
67,3
52,2
54,1
43,1
32,2
52,2
34,1
43,2
40,2
11,2
44,1
35,2
65,1
31,1
91,5
46,2
91,4
65,4
48,1
183,6
14,1
64,1
70,4
58,3
46,2
47,5
33,2
70,3
12,1
66,1
54,2
12,1
71,1
89,2
79,2
51,3
79,4
56,3
24,1
3,2
51,4
21,1
40,3
79,3
38,3
31,1
108,3
52,2
56,2
78,2
124,6
57,1
123,4
148,5
58,2
13,2
120,6
41,1
11,2
92,5
174,8
88,2
45,1
156,3
13,1
30,2
33,1
50,3
219,9
102,3
63,1
68,3
39,2
25,2
53,3
63,2
65,1
133,6
96,5
28,2
64,1
109,8
88,3
44,5
-1,1
29,2
114,3
77,2
34,2
40,2
137,6
36,3
55,3
113,2
32,2
38,2
49,1
95,4
25,1
24,1
23,1
31,2
118,3
23,1
21,1
64,1
42,1
20,1
111,6
46,2
37,1
18,1
19,1
20,1
18,1
51,2
24,1
50,1
43,2
27,1
42,1
57,1
50,1
48,2
13,2
26,2
22,1
20,2
20,1
18,2
59,2
28,2
43,1
25,2
55,2
88,4
251,10
77,3
56,1
55,1
101,3
180,5
11,1
591,29
16,1
137,3
11,2
52,1
53,2
89,2
310,13
27,1
77,2
40,2
97,3
48,2
111,5
66,4
202,12
53,2
118,5
129,7
63,4
43,2
49,1
44,1
50,2
45,3
51,2
171,5
33,1
57,1
84,2
96,7
27,1
41,2
35,2
46,1
39,2
73,2
72,1
54,2
190,8
26,2
58,2
81,3
169,4
30,2
58,1
194,6
41,2
191,7
44,1
